,protocol,date,follower_count
421,Tether,2018-02-18,21898
422,Tether,2018-02-19,21954
423,Tether,2018-02-20,22034
424,Tether,2018-02-21,22099
425,Tether,2018-02-22,22156
426,Tether,2018-02-23,22205
427,Tether,2018-02-24,22248
428,Tether,2018-02-25,22309
429,Tether,2018-02-26,22349
430,Tether,2018-02-27,22361
431,Tezos,2018-01-28,11036
432,Tezos,2018-01-29,11068
433,Tezos,2018-01-31,11118
434,Tezos,2018-02-01,11180
435,Tezos,2018-02-02,11208
436,Tezos,2018-02-03,11227
437,Tezos,2018-02-04,11250
438,Tezos,2018-02-05,11319
439,Tezos,2018-02-06,11390
440,Tezos,2018-02-07,11445
441,Tezos,2018-02-08,11498
442,Tezos,2018-02-09,11540
443,Tezos,2018-02-11,11616
444,Tezos,2018-02-12,11648
445,Tezos,2018-02-13,11685
446,Tezos,2018-02-14,11713
447,Tezos,2018-02-15,11739
448,Tezos,2018-02-16,11774
449,Tezos,2018-02-17,11805
450,Tezos,2018-02-18,11850
451,Tezos,2018-02-19,11931
452,Tezos,2018-02-20,12005
453,Tezos,2018-02-21,12032
454,Tezos,2018-02-22,12200
455,Tezos,2018-02-23,12373
456,Tezos,2018-02-24,12454
457,Tezos,2018-02-25,12495
458,Tezos,2018-02-26,12528
459,Tezos,2018-02-27,12545
460,Urbit,2018-01-28,5626
461,Urbit,2018-01-29,5628
462,Urbit,2018-01-31,5439
463,Urbit,2018-02-01,5334
464,Urbit,2018-02-02,5173
465,Urbit,2018-02-03,5164
466,Urbit,2018-02-04,5170
467,Urbit,2018-02-05,5174
468,Urbit,2018-02-06,5178
469,Urbit,2018-02-07,5185
470,Urbit,2018-02-08,5189
471,Urbit,2018-02-09,5196
472,Urbit,2018-02-11,5215
473,Urbit,2018-02-12,5223
474,Urbit,2018-02-13,5213
475,Urbit,2018-02-14,4684
476,Urbit,2018-02-15,4694
477,Urbit,2018-02-16,4663
478,Urbit,2018-02-17,4663
479,Urbit,2018-02-18,4135
480,Urbit,2018-02-19,4144
481,Urbit,2018-02-20,4147
482,Urbit,2018-02-21,4149
483,Urbit,2018-02-22,4158
484,Urbit,2018-02-23,4164
485,Urbit,2018-02-24,4183
486,Urbit,2018-02-25,4188
487,Urbit,2018-02-26,4190
488,Urbit,2018-02-27,4189
